"Name","Modified Time","Change Time","Access Time","Created Time","Size","Flags(Dir)","Flags(Meta)","Known","Location","MD5 Hash","MIME Type","Extension"
"oleaccrc.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/oleaccrc.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"osk.exe","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/osk.exe","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","exe"
"PerfCenterCpl.ico","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/PerfCenterCpl.ico","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","ico"
"pngfilt.dll","2009-07-13 20:16:12 COT","2015-03-22 10:19:00 COT","2009-07-13 18:42:26 COT","2009-07-13 18:42:26 COT","46592","Unallocated","Allocated","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/pngfilt.dll","eed5ae4ef38893dd1743a95760c98704","application/x-msdownload","dll"
"pstorsvc.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/pstorsvc.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"rasdlg.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/rasdlg.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"RpcNs4.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/RpcNs4.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"security.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/security.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"sfc.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/sfc.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"shwebsvc.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/shwebsvc.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"SortServer2003Compat.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/SortServer2003Compat.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"spwizimg.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/spwizimg.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"typeperf.exe","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/typeperf.exe","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","exe"
"mmc.mof","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/wbem/mmc.mof","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","mof"
"prod_wow64_Audio-AudioCore.ptxml","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/wdi/perftrack/prod_wow64_Audio-AudioCore.ptxml","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","ptxml"
"wow64_ieframe.ptxml","2009-07-13 15:45:40 COT","2015-03-22 10:19:00 COT","2009-07-13 15:45:40 COT","2009-07-13 15:45:40 COT","13270","Unallocated","Allocated","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/wdi/perftrack/wow64_ieframe.ptxml","cd7176266976c9e457c8a853b79662da","text/xml","ptxml"
"wow64_Microsoft-Windows-IE-HTMLRendering.ptxml","2009-07-13 15:45:42 COT","2015-03-22 10:19:00 COT","2009-07-13 15:45:42 COT","2009-07-13 15:45:42 COT","1141","Unallocated","Allocated","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/wdi/perftrack/wow64_Microsoft-Windows-IE-HTMLRendering.ptxml","4ac63a0faf8653ef36fbb4c15f4762bb","text/xml","ptxml"
"about_data_sections.help.txt","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/WindowsPowerShell/v1.0/en-US/about_data_sections.help.txt","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","txt"
"about_functions_cmdletbindingattribute.help.txt","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/WindowsPowerShell/v1.0/en-US/about_functions_cmdletbindingattribute.help.txt","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","txt"
"about_Parsing.help.txt","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/WindowsPowerShell/v1.0/en-US/about_Parsing.help.txt","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","txt"
"about_remote.help.txt","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/WindowsPowerShell/v1.0/en-US/about_remote.help.txt","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","txt"
"about_Special_Characters.help.txt","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/WindowsPowerShell/v1.0/en-US/about_Special_Characters.help.txt","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","txt"
"about_WS-Management_Cmdlets.help.txt","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/WindowsPowerShell/v1.0/en-US/about_WS-Management_Cmdlets.help.txt","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","txt"
"takeown.exe","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/takeown.exe","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","exe"
"tcmsetup.exe","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/tcmsetup.exe","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","exe"
"tdc.ocx","2009-07-13 20:14:10 COT","2015-03-22 10:19:00 COT","2009-07-13 18:42:17 COT","2009-07-13 18:42:17 COT","66560","Unallocated","Allocated","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/tdc.ocx","23694b532d8124f1e53bd1d80082e015","application/x-msdownload","ocx"
"tdh.dll","2009-07-13 20:16:15 COT","2015-03-22 10:18:58 COT","2009-07-13 18:20:00 COT","2009-07-13 18:20:00 COT","606720","Unallocated","Allocated","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/tdh.dll","8d47d01378347889a662d54037a988cc","application/x-msdownload","dll"
"unlodctr.exe","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/unlodctr.exe","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","exe"
"usk.rs","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/usk.rs","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","rs"
"waitfor.exe","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/waitfor.exe","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","exe"
"webio.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/webio.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"whhelper.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/whhelper.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
